d,j,a,b,c,e,f,g,h,i,k,l,m,n
2.14,1.28,1,13.2,1.78,11.2,100,2.65,2.76,0.26,4.38,1.05,3.4,1050
2.87,1.82,1,13.24,2.59,21.0,118,2.8,2.69,0.39,4.32,1.04,2.93,735
2.45,1.97,1,14.2,1.76,15.2,112,3.27,3.39,0.34,6.75,1.05,2.85,1450
2.45,1.98,1,14.39,1.87,14.6,96,2.5,2.52,0.3,5.25,1.02,3.58,1290
2.61,1.25,1,14.06,2.15,17.6,121,2.6,2.51,0.31,5.05,1.06,3.58,1295
2.17,1.98,1,14.83,1.64,14.0,97,2.8,2.98,0.29,5.2,1.08,2.85,1045
2.27,1.85,1,13.86,1.35,16.0,98,2.98,3.15,0.22,7.22,1.01,3.55,1045
2.3,2.38,1,14.1,2.16,18.0,105,2.95,3.32,0.22,5.75,1.25,3.17,1510
2.32,1.57,1,14.12,1.48,16.8,95,2.2,2.43,0.26,5.0,1.17,2.82,1280
2.41,1.81,1,13.75,1.73,16.0,89,2.6,2.76,0.29,5.6,1.15,2.9,1320
2.39,2.81,1,14.75,1.73,11.4,91,3.1,3.69,0.43,5.4,1.25,2.73,1150
2.38,2.96,1,14.38,1.87,12.0,102,3.3,3.64,0.29,7.5,1.2,3.0,1547
2.7,1.46,1,13.63,1.81,17.2,112,2.85,2.91,0.3,7.3,1.28,2.88,1310
2.72,1.97,1,14.3,1.92,20.0,120,2.8,3.14,0.33,6.2,1.07,2.65,1280
2.62,1.72,1,13.83,1.57,20.0,115,2.95,3.4,0.4,6.6,1.13,2.57,1130
2.48,1.86,1,14.19,1.59,16.5,108,3.3,3.93,0.32,8.7,1.23,2.82,1680
2.56,1.66,1,13.64,3.1,15.2,116,2.7,3.03,0.17,5.1,0.96,3.36,845
2.28,2.1,1,14.06,1.63,16.0,126,3.0,3.17,0.24,5.65,1.09,3.71,780
2.65,1.98,1,12.93,3.8,18.6,102,2.41,2.41,0.25,4.5,1.03,3.52,770
2.36,1.69,1,13.71,1.86,16.6,101,2.61,2.88,0.27,3.8,1.11,4.0,1035
2.52,1.46,1,12.85,1.6,17.8,95,2.48,2.37,0.26,3.93,1.09,3.63,1015
2.61,1.66,1,13.5,1.81,20.0,96,2.53,2.61,0.28,3.52,1.12,3.82,845
3.22,1.92,1,13.05,2.05,25.0,124,2.63,2.68,0.47,3.58,1.13,3.2,830
2.62,1.45,1,13.39,1.77,16.1,93,2.85,2.94,0.34,4.8,0.92,3.22,1195
2.14,1.35,1,13.3,1.72,17.0,94,2.4,2.19,0.27,3.95,1.02,2.77,1285
2.8,1.76,1,13.87,1.9,19.4,107,2.95,2.97,0.37,4.5,1.25,3.4,915
2.21,1.98,1,14.02,1.68,16.0,96,2.65,2.33,0.26,4.7,1.04,3.59,1035
2.7,2.38,1,13.73,1.5,22.5,101,3.0,3.25,0.29,5.7,1.19,2.71,1285
2.36,1.95,1,13.58,1.66,19.1,106,2.86,3.19,0.22,6.9,1.09,2.88,1515
2.36,1.97,1,13.68,1.83,17.2,104,2.42,2.69,0.42,3.84,1.23,2.87,990
2.7,1.35,1,13.76,1.53,19.5,132,2.95,2.74,0.5,5.4,1.25,3.0,1235
2.65,1.54,1,13.51,1.8,19.0,110,2.35,2.53,0.29,4.2,1.1,2.87,1095
2.41,1.86,1,13.48,1.81,20.5,100,2.7,2.98,0.26,5.1,1.04,3.47,920
2.84,1.36,1,13.28,1.64,15.5,110,2.6,2.68,0.34,4.6,1.09,2.78,880
2.55,1.44,1,13.05,1.65,18.0,98,2.45,2.43,0.29,4.25,1.12,2.51,1105
2.1,1.37,1,13.07,1.5,15.5,98,2.4,2.64,0.28,3.7,1.18,2.69,1020
2.51,2.08,1,14.22,3.99,13.2,128,3.0,3.04,0.2,5.1,0.89,3.53,760
2.31,2.34,1,13.56,1.71,16.2,117,3.15,3.29,0.34,6.13,0.95,3.38,795
2.12,1.48,1,13.41,3.84,18.8,90,2.45,2.68,0.27,4.28,0.91,3.0,1035
2.59,1.7,1,13.88,1.89,15.0,101,3.25,3.56,0.17,5.43,0.88,3.56,1095
2.29,1.66,1,13.24,3.98,17.5,103,2.64,2.63,0.32,4.36,0.82,3.0,680
2.1,2.03,1,13.05,1.77,17.0,107,3.0,3.0,0.28,5.04,0.88,3.35,885
2.44,1.25,1,14.21,4.04,18.9,111,2.85,2.65,0.3,5.24,0.87,3.33,1080
2.28,2.19,1,14.38,3.59,16.0,102,3.25,3.17,0.27,4.9,1.04,3.44,1065
2.12,2.14,1,13.9,1.68,16.0,101,3.1,3.39,0.21,6.1,0.91,3.33,985
2.4,2.38,1,14.1,2.02,18.8,103,2.75,2.92,0.32,6.2,1.07,2.75,1060
2.27,2.08,1,13.94,1.73,17.4,108,2.88,3.54,0.32,8.9,1.12,3.1,1260
2.04,2.91,1,13.05,1.73,12.4,92,2.72,3.27,0.17,7.2,1.12,2.91,1150
2.6,2.29,1,13.83,1.65,17.2,94,2.45,2.99,0.22,5.6,1.24,3.37,1265
2.42,1.87,1,13.82,1.75,14.0,111,3.88,3.74,0.32,7.05,1.01,3.26,1190
2.68,1.68,1,13.77,1.9,17.1,115,3.0,2.79,0.39,6.3,1.13,2.93,1375
2.25,1.62,1,13.74,1.67,16.4,118,2.6,2.9,0.21,5.85,0.92,3.2,1060
2.46,2.45,1,13.56,1.73,20.5,116,2.96,2.78,0.2,6.25,0.98,3.03,1120
2.3,2.03,1,14.22,1.7,16.3,118,3.2,3.0,0.26,6.38,0.94,3.31,970
2.68,1.66,1,13.29,1.97,16.8,102,3.0,3.23,0.31,6.0,1.07,2.84,1270
2.5,2.04,1,13.72,1.43,16.7,108,3.4,3.67,0.19,6.8,0.89,2.87,1285
1.36,0.42,2,12.37,0.94,10.6,88,1.98,0.57,0.28,1.95,1.05,1.82,520
2.28,0.41,2,12.33,1.1,16.0,101,2.05,1.09,0.63,3.27,1.25,1.67,680
2.02,0.62,2,12.64,1.36,16.8,100,2.02,1.41,0.53,5.75,0.98,1.59,450
1.92,0.73,2,13.67,1.25,18.0,94,2.1,1.79,0.32,3.8,1.23,2.46,630
2.16,1.87,2,12.37,1.13,19.0,87,3.5,3.1,0.19,4.45,1.22,2.87,420
2.53,1.03,2,12.17,1.45,19.0,104,1.89,1.75,0.45,2.95,1.45,2.23,355
2.56,2.08,2,12.37,1.21,18.1,98,2.42,2.65,0.37,4.6,1.19,2.3,678
1.7,2.28,2,13.11,1.01,15.0,78,2.98,3.18,0.26,5.3,1.12,3.18,502
1.92,1.04,2,12.37,1.17,19.6,78,2.11,2.0,0.27,4.68,1.12,3.48,510
2.36,0.42,2,13.34,0.94,17.0,110,2.53,1.3,0.55,3.17,1.02,1.93,750
1.75,2.5,2,12.21,1.19,16.8,151,1.85,1.28,0.14,2.85,1.28,3.07,718
2.21,1.46,2,12.29,1.61,20.4,103,1.1,1.02,0.37,3.05,0.9059999999999999,1.82,870
2.67,1.87,2,13.86,1.51,25.0,86,2.95,2.86,0.21,3.38,1.36,3.16,410
2.24,1.03,2,13.49,1.66,24.0,87,1.88,1.84,0.27,3.74,0.98,2.78,472
2.6,1.96,2,12.99,1.67,30.0,139,3.3,2.89,0.21,3.35,1.31,3.5,985
2.3,1.65,2,11.96,1.09,21.0,101,3.38,2.14,0.13,3.21,0.99,3.13,886
1.92,1.15,2,11.66,1.88,16.0,97,1.61,1.57,0.34,3.8,1.23,2.14,428
1.71,1.46,2,13.03,0.9,16.0,86,1.95,2.03,0.24,4.6,1.19,2.48,392
2.23,0.95,2,11.84,2.89,18.0,112,1.72,1.32,0.43,2.65,0.96,2.52,500
1.95,2.76,2,12.33,0.99,14.8,136,1.9,1.85,0.35,3.4,1.06,2.31,750
2.4,1.95,2,12.7,3.87,23.0,101,2.83,2.55,0.43,2.57,1.19,3.13,463
2.0,1.43,2,12.0,0.92,19.0,86,2.42,2.26,0.3,2.5,1.38,3.12,278
2.2,1.77,2,12.72,1.81,18.8,86,2.2,2.53,0.26,3.9,1.16,3.14,714
2.51,1.4,2,12.08,1.13,24.0,78,2.0,1.58,0.4,2.2,1.31,2.72,630
2.32,1.62,2,13.05,3.86,22.5,85,1.65,1.59,0.61,4.8,0.84,2.01,515
2.58,2.35,2,11.84,0.89,18.0,94,2.2,2.21,0.22,3.05,0.79,3.08,520
2.24,1.46,2,12.67,0.98,18.0,99,2.2,1.94,0.3,2.62,1.23,3.16,450
2.31,1.56,2,12.16,1.61,22.8,90,1.78,1.69,0.43,2.45,1.33,2.26,495
2.62,1.34,2,11.65,1.67,26.0,88,1.92,1.61,0.4,2.6,1.36,3.21,562
2.46,1.35,2,11.64,2.06,21.6,84,1.95,1.69,0.48,2.8,1.0,2.75,680
2.3,1.38,2,12.08,1.33,23.6,70,2.2,1.59,0.42,1.74,1.07,3.21,625
2.32,1.64,2,12.08,1.83,18.5,81,1.6,1.5,0.52,2.4,1.08,2.27,480
2.42,1.63,2,12.0,1.51,22.0,86,1.45,1.25,0.5,3.6,1.05,2.65,450
2.26,1.62,2,12.69,1.53,20.7,80,1.38,1.46,0.58,3.05,0.96,2.06,495
2.22,1.99,2,12.29,2.83,18.0,88,2.45,2.25,0.25,2.15,1.15,3.3,290
2.28,1.35,2,11.62,1.99,18.0,98,3.02,2.26,0.17,3.25,1.16,2.96,345
2.2,3.28,2,12.47,1.52,19.0,162,2.5,2.27,0.32,2.6,1.16,2.63,937
2.74,1.56,2,11.81,2.12,21.5,134,1.6,0.99,0.14,2.5,0.95,2.26,625
1.98,1.77,2,12.29,1.41,16.0,85,2.55,2.5,0.29,2.9,1.23,2.74,428
2.1,1.95,2,12.37,1.07,18.5,88,3.52,3.75,0.24,4.5,1.04,2.77,660
2.21,2.81,2,12.29,3.17,18.0,88,2.85,2.99,0.45,2.3,1.42,2.83,406
1.7,1.4,2,12.08,2.08,17.5,97,2.23,2.17,0.26,3.3,1.27,2.96,710
1.9,1.35,2,12.6,1.34,18.5,88,1.45,1.36,0.29,2.45,1.04,2.77,562
2.46,1.31,2,12.34,2.45,21.0,98,2.56,2.11,0.34,2.8,0.8,3.38,438
1.88,1.42,2,11.82,1.72,19.5,86,2.5,1.64,0.37,2.06,0.94,2.44,415
1.98,1.48,2,12.51,1.73,20.5,85,2.2,1.92,0.32,2.94,1.04,3.57,672
2.27,1.42,2,12.42,2.55,22.0,90,1.68,1.84,0.66,2.7,0.86,3.3,315
2.12,1.63,2,12.25,1.73,19.0,80,1.65,2.03,0.37,3.4,1.0,3.17,510
2.28,1.63,2,12.72,1.75,22.5,84,1.38,1.76,0.48,3.3,0.88,2.42,488
1.94,2.08,2,12.22,1.29,19.0,92,2.36,2.04,0.39,2.7,0.86,3.02,312
2.7,2.49,2,11.61,1.35,20.0,94,2.74,2.92,0.29,2.65,0.96,3.26,680
1.82,3.58,2,11.46,3.74,19.5,107,3.18,2.58,0.24,2.9,0.75,2.81,562
2.17,1.22,2,12.52,2.43,21.0,88,2.55,2.27,0.26,2.0,0.9,2.78,325
2.92,1.05,2,11.76,2.68,20.0,103,1.75,2.03,0.6,3.8,1.23,2.5,607
2.5,1.44,2,11.41,0.74,21.0,88,2.48,2.01,0.42,3.08,1.1,2.31,434
2.5,1.04,2,12.08,1.39,22.5,84,2.56,2.29,0.43,2.9,0.93,3.19,385
2.2,2.01,2,11.03,1.51,21.5,85,2.46,2.17,0.52,1.9,1.71,2.87,407
1.99,1.53,2,11.82,1.47,20.8,86,1.98,1.6,0.3,1.95,0.95,3.33,495
2.19,1.61,2,12.42,1.61,22.5,108,2.0,2.09,0.34,2.06,1.06,2.96,345
1.98,0.83,2,12.77,3.43,16.0,80,1.63,1.25,0.43,3.4,0.7,2.12,372
2.0,1.87,2,12.0,3.43,19.0,87,2.0,1.64,0.37,1.28,0.93,3.05,564
2.42,1.83,2,11.45,2.4,20.0,96,2.9,2.79,0.32,3.25,0.8,3.39,625
3.23,1.87,2,11.56,2.05,28.5,119,3.18,5.08,0.47,6.0,0.93,3.69,465
2.73,1.71,2,12.42,4.43,26.5,102,2.2,2.13,0.43,2.08,0.92,3.12,365
2.13,2.01,2,13.05,5.8,21.5,86,2.62,2.65,0.3,2.6,0.73,3.1,380
2.39,2.91,2,11.87,4.31,21.0,82,2.86,3.03,0.21,2.8,0.75,3.64,380
2.17,1.35,2,12.07,2.16,21.0,85,2.6,2.65,0.37,2.76,0.86,3.28,378
2.29,1.77,2,12.43,1.53,21.5,86,2.74,3.15,0.39,3.94,0.69,2.84,352
2.78,1.76,2,11.79,2.13,28.5,92,2.13,2.24,0.58,3.0,0.97,2.44,466
2.3,1.9,2,12.37,1.63,24.5,88,2.22,2.45,0.4,2.12,0.89,2.78,342
2.38,1.35,2,12.04,4.3,22.0,80,2.1,1.75,0.42,2.6,0.79,2.57,580
2.32,0.94,3,12.86,1.35,18.0,122,1.51,1.25,0.21,4.1,0.76,1.29,630
2.4,0.83,3,12.88,2.99,20.0,104,1.3,1.22,0.24,5.4,0.74,1.42,530
2.4,0.83,3,12.81,2.31,24.0,98,1.15,1.09,0.27,5.7,0.66,1.36,560
2.36,0.84,3,12.7,3.55,21.5,106,1.7,1.2,0.17,5.0,0.78,1.29,600
2.25,1.25,3,12.51,1.24,17.5,85,2.0,0.58,0.6,5.45,0.75,1.51,650
2.2,0.94,3,12.6,2.46,18.5,94,1.62,0.66,0.63,7.1,0.73,1.58,695
2.54,0.8,3,12.25,4.72,21.0,89,1.38,0.47,0.53,3.85,0.75,1.27,720
2.64,1.1,3,12.53,5.51,25.0,96,1.79,0.6,0.63,5.0,0.82,1.69,515
2.19,0.88,3,13.49,3.59,19.5,88,1.62,0.48,0.58,5.7,0.81,1.82,580
2.61,0.81,3,12.84,2.96,24.0,101,2.32,0.6,0.53,4.92,0.89,2.15,590
2.7,0.75,3,12.93,2.81,21.0,96,1.54,0.5,0.53,4.6,0.77,2.31,600
2.35,0.64,3,13.36,2.56,20.0,89,1.4,0.5,0.37,5.6,0.7,2.47,780
2.72,0.55,3,13.52,3.17,23.5,97,1.55,0.52,0.5,4.35,0.89,2.06,520
2.35,1.02,3,13.62,4.95,20.0,92,2.0,0.8,0.47,4.4,0.91,2.05,550
2.2,1.14,3,12.25,3.88,18.5,112,1.38,0.78,0.29,8.21,0.65,2.0,855
2.15,1.3,3,13.16,3.57,21.0,102,1.5,0.55,0.43,4.0,0.6,1.68,830
2.23,0.68,3,13.88,5.04,20.0,80,0.98,0.34,0.4,4.9,0.58,1.33,415
2.48,0.86,3,12.87,4.61,21.5,86,1.7,0.65,0.47,7.65,0.54,1.86,625
2.38,1.25,3,13.32,3.24,21.5,92,1.93,0.76,0.45,8.42,0.55,1.62,650
2.36,1.14,3,13.08,3.9,21.5,113,1.41,1.39,0.34,9.4,0.57,1.33,550
2.62,1.25,3,13.5,3.12,24.0,123,1.4,1.57,0.22,8.6,0.59,1.3,500
2.48,1.26,3,12.79,2.67,22.0,112,1.48,1.36,0.24,10.8,0.48,1.47,480
2.75,1.56,3,13.11,1.9,25.5,116,2.2,1.28,0.26,7.1,0.61,1.33,425
2.28,1.87,3,13.23,3.3,18.5,98,1.8,0.83,0.61,10.52,0.56,1.51,675
2.1,1.4,3,12.58,1.29,20.0,103,1.48,0.58,0.53,7.6,0.58,1.55,640
2.32,1.55,3,13.17,5.19,22.0,93,1.74,0.63,0.61,7.9,0.6,1.48,725
2.38,1.56,3,13.84,4.12,19.5,89,1.8,0.83,0.48,9.01,0.57,1.64,480
2.64,1.14,3,12.45,3.03,27.0,97,1.9,0.58,0.63,7.5,0.67,1.73,880
2.7,2.7,3,14.34,1.68,25.0,98,2.8,1.31,0.53,13.0,0.57,1.96,660
2.64,2.29,3,13.48,1.67,22.5,89,2.6,1.1,0.52,11.75,0.57,1.78,620
2.38,1.04,3,12.36,3.83,21.0,88,2.3,0.92,0.5,7.65,0.56,1.58,520
2.54,0.8,3,13.69,3.26,20.0,107,1.83,0.56,0.5,5.88,0.96,1.82,680
2.58,0.96,3,12.85,3.27,22.0,106,1.65,0.6,0.6,5.58,0.87,2.11,570
2.35,0.94,3,12.96,3.45,18.5,106,1.39,0.7,0.4,5.28,0.68,1.75,675
2.3,1.03,3,13.78,2.76,22.0,90,1.35,0.68,0.41,9.58,0.7,1.68,615
2.26,1.15,3,13.73,4.36,22.5,88,1.28,0.47,0.52,6.62,0.78,1.75,520
2.6,1.46,3,13.45,3.7,23.0,111,1.7,0.92,0.43,10.68,0.85,1.56,695
2.3,0.97,3,12.82,3.37,19.5,88,1.48,0.66,0.4,10.26,0.72,1.75,685
2.69,1.54,3,13.58,2.58,24.5,105,1.55,0.84,0.39,8.66,0.74,1.8,750
2.86,1.11,3,13.4,4.6,25.0,112,1.98,0.96,0.27,8.5,0.67,1.92,630
2.32,0.73,3,12.2,3.03,19.0,96,1.25,0.49,0.4,5.5,0.66,1.83,510
2.28,0.64,3,12.77,2.39,19.5,86,1.39,0.51,0.48,9.899999000000001,0.57,1.63,470
2.48,1.24,3,14.16,2.51,20.0,91,1.68,0.7,0.44,9.7,0.62,1.71,660
2.45,1.06,3,13.71,5.65,20.5,95,1.68,0.61,0.52,7.7,0.64,1.74,740
2.48,1.41,3,13.4,3.91,23.0,102,1.8,0.75,0.43,7.3,0.7,1.56,750
2.26,1.35,3,13.27,4.28,20.0,120,1.59,0.69,0.43,10.2,0.59,1.56,835
2.37,1.46,3,13.17,2.59,20.0,120,1.65,0.68,0.53,9.3,0.6,1.62,840
2.74,1.35,3,14.13,4.1,24.5,96,2.05,0.76,0.56,9.2,0.61,1.6,560
